,,,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy
Player,Team,G,Att,Yard,TD,Target,Rec,Yard,TD,FPts,FPts/G
DeAngelo Williams,PIT,1,26,143,2,9,6,28,0,29.1,29.1
C.J. Anderson,DEN,1,20,92,1,5,4,47,1,25.9,25.9
Spencer Ware,KC,1,11,70,1,8,7,129,0,25.9,25.9
Theo Riddick,DET,1,7,45,1,5,5,63,1,22.8,22.8
Carlos Hyde,SF,1,23,88,2,3,2,5,0,21.3,21.3
DeMarco Murray,TEN,1,13,42,0,7,5,35,2,19.7,19.7
David Johnson,ARI,1,16,89,1,6,4,43,0,19.2,19.2
Ameer Abdullah,DET,1,12,63,0,5,5,57,1,18.0,18.0
Danny Woodhead,SD,1,16,89,0,7,5,31,1,18.0,18.0
Melvin Gordon,SD,1,14,57,2,0,0,0,0,17.7,17.7
Matt Forte,NYJ,1,22,96,0,7,5,59,0,15.5,15.5
Jalen Richard,OAK,1,3,84,1,2,2,11,0,15.5,15.5
Isaiah Crowell,CLE,1,12,62,1,2,2,16,0,13.8,13.8
Ryan Mathews,PHI,1,22,77,1,0,0,0,0,13.7,13.7
Latavius Murray,OAK,1,14,59,1,2,1,13,0,13.2,13.2
LeGarrette Blount,NE,1,22,70,1,0,0,0,0,13.0,13.0
LeSean McCoy,BUF,1,16,58,1,4,4,12,0,13.0,13.0
T.J. Yeldon,JAC,1,21,39,1,6,4,30,0,12.9,12.9
Jeremy Langford,CHI,1,17,57,1,4,2,6,0,12.3,12.3
Tevin Coleman,ATL,1,8,22,0,6,5,95,0,11.7,11.7
Lamar Miller,HOU,1,28,106,0,4,4,11,0,11.7,11.7
Ezekiel Elliott,DAL,1,20,51,1,2,1,1,0,11.2,11.2
Charles Sims,TB,1,4,9,0,3,3,32,1,10.1,10.1
Arian Foster,MIA,1,13,38,0,5,3,62,0,10.0,10.0
Chris Thompson,WAS,1,4,23,1,2,2,16,0,9.9,9.9
Shaun Draughn,SF,1,7,18,1,2,2,18,0,9.6,9.6
Doug Martin,TB,1,18,62,0,5,5,34,0,9.6,9.6
Jeremy Hill,CIN,1,9,31,1,0,0,0,0,9.1,9.1
Andy Janovich,DEN,1,1,28,1,0,0,0,0,8.8,8.8
Mark Ingram,NO,1,12,58,0,2,2,29,0,8.7,8.7
Frank Gore,IND,1,14,59,0,6,4,19,0,7.8,7.8
Rashad Jennings,NYG,1,18,75,0,2,1,3,0,7.8,7.8
Eddie Lacy,GB,1,14,61,0,2,1,17,0,7.8,7.8
Travaris Cadet,NO,1,1,1,0,7,3,14,1,7.5,7.5
Christine Michael,SEA,1,15,66,0,4,2,5,0,7.1,7.1
Jonathan Stewart,CAR,1,15,64,0,1,0,0,0,6.4,6.4
Jamize Olawale,OAK,1,1,2,1,0,0,0,0,6.2,6.2
Shane Vereen,NYG,1,6,38,0,5,3,23,0,6.1,6.1
Dwayne Washington,DET,1,2,1,1,0,0,0,0,6.1,6.1
Thomas Rawls,SEA,1,12,32,0,3,3,26,0,5.8,5.8
Justin Forsett,BAL,1,10,41,0,3,3,15,0,5.6,5.6
Duke Johnson,CLE,1,3,22,0,5,3,28,0,5.0,5.0
Bilal Powell,NYJ,1,4,41,0,4,2,7,0,4.8,4.8
Derrick Henry,TEN,1,5,3,0,2,2,41,0,4.4,4.4
James White,NE,1,1,4,0,7,5,40,0,4.4,4.4
Kenjon Barner,PHI,1,4,42,0,0,0,0,0,4.2,4.2
Todd Gurley,LAR,1,17,47,0,3,1,-5,0,4.2,4.2
Devonta Freeman,ATL,1,11,20,0,4,4,20,0,4.0,4.0
Terrance West,BAL,1,12,32,0,2,2,6,0,3.8,3.8
Damien Williams,MIA,1,2,9,0,2,1,29,0,3.8,3.8
Darren Sproles,PHI,1,5,12,0,5,2,24,0,3.6,3.6
Alfred Morris,DAL,1,7,35,0,1,0,0,0,3.5,3.5
Matt Jones,WAS,1,7,24,0,1,1,9,0,3.3,3.3
Adrian Peterson,MIN,1,19,31,0,2,0,0,0,3.1,3.1
Giovani Bernard,CIN,1,5,25,0,4,2,5,0,3.0,3.0
Josh Ferguson,IND,1,1,-2,0,2,2,26,0,2.4,2.4
DeAndre Washington,OAK,1,5,14,0,1,1,10,0,2.4,2.4
Kyle Juszczyk,BAL,1,1,2,0,3,2,21,0,2.3,2.3
Charcandrick West,KC,1,3,-1,0,6,6,24,0,2.3,2.3
Robert Turbin,IND,1,1,4,0,2,2,15,0,1.9,1.9
Fozzy Whittaker,CAR,1,3,13,0,1,1,4,0,1.7,1.7
Lance Dunbar,DAL,1,0,0,0,2,1,16,0,1.6,1.6
Matt Asiata,MIN,1,4,13,0,0,0,0,0,1.3,1.3
Malcolm Brown,LAR,1,1,5,0,1,1,8,0,1.3,1.3
James Starks,GB,1,4,7,0,1,1,6,0,1.3,1.3
C.J. Prosise,SEA,1,1,-2,0,1,1,13,0,1.1,1.1
Tim Hightower,NO,1,4,9,0,1,1,1,0,1.0,1.0
Taiwan Jones,OAK,1,1,-8,0,2,2,17,0,0.9,0.9
Jerick McKinnon,MIN,1,1,6,0,2,1,3,0,0.9,0.9
Devontae Booker,DEN,1,3,8,0,0,0,0,0,0.8,0.8
Benny Cunningham,LAR,1,1,1,0,1,1,7,0,0.8,0.8
Patrick DiMarco,ATL,1,0,0,0,1,1,8,0,0.8,0.8
Andre Ellington,ARI,1,0,0,0,2,2,8,0,0.8,0.8
Tyler Ervin,HOU,1,1,3,0,2,1,5,0,0.8,0.8
Denard Robinson,JAC,1,3,7,0,0,0,0,0,0.7,0.7
Mike Tolbert,CAR,1,2,6,0,1,1,1,0,0.7,0.7
Kapri Bibbs,DEN,1,0,0,0,1,1,6,0,0.6,0.6
Fitzgerald Toussaint,PIT,1,3,6,0,0,0,0,0,0.6,0.6
Alfred Blue,HOU,1,1,4,0,0,0,0,0,0.4,0.4
Brandon Bolden,NE,1,1,4,0,0,0,0,0,0.4,0.4
Ka'Deem Carey,CHI,1,1,4,0,0,0,0,0,0.4,0.4
John Kuhn,NO,1,2,4,0,1,0,0,0,0.4,0.4
Chris Johnson,ARI,1,1,2,0,0,0,0,0,0.2,0.2
Jay Prosch,HOU,1,1,2,0,0,0,0,0,0.2,0.2
Mike Davis,SF,1,3,1,0,0,0,0,0,0.1,0.1
Wendell Smallwood,PHI,1,1,1,0,0,0,0,0,0.1,0.1
Reggie Bush,BUF,1,3,-4,0,1,0,0,0,-0.4,-0.4
Mike Gillislee,BUF,1,0,0,0,1,1,-4,0,-0.4,-0.4
